,xG
xGA,-0.4287639050932277
P_Def_3rd,-0.3534213011926857
Press,-0.13777155425453916
P_Mid_3rd,-0.12086543364343522
Press_Succ,0.05176686654852796
Megs,0.2012973841787093
Press%,0.27020535887500197
P_Att_3rd,0.2772085104149145
DribSucc%,0.2901549760528875
T_Def_3rd,0.3980676672271106
#Players_Dribbled,0.6133070320785795
Drib_Succ,0.6176089516362849
Drib_Att,0.6461809774551658
Pass_Cmp%,0.6787073017671721
Poss,0.7350595297237427
Pass_TotDist,0.7510342255202775
T_Mid_3rd,0.7517545006852367
Pass_Cmp,0.7791267185455757
Pass_Att,0.783191594508411
Touches,0.7841685707444257
Pass_PrgDist,0.7933168782039048
T_Att_3rd,0.8403937661840639
xPTS,0.8920220176342452
T_Att_Pen,0.9318247082589806
xG,1.0
